country,gdp,gold_medals
Algeria,6000.0,5
Argentina,11200.0,70
Armenia,3500.0,2
Australia,29000.0,261
Austria,30000.0,55
Azerbaijan,3400.0,7
Bahrain,16900.0,1
Belarus,6100.0,24
Belgium,29100.0,8
Brazil,7600.0,100
Bulgaria,7600.0,33
Burundi,600.0,1
Cameroon,1800.0,20
Canada,29800.0,303
Chile,9900.0,3
China,5000.0,308
Colombia,6300.0,5
Costa Rica,9100.0,1
Cote d'Ivoire,1400.0,1
Croatia,10600.0,58
Cuba,2900.0,149
Czech Republic,15700.0,42
Denmark,31100.0,92
Dominican Republic,6000.0,3
Ecuador,3300.0,1
Egypt,4000.0,1
Estonia,12300.0,7
Ethiopia,700.0,19
Fiji,5800.0,13
Finland,27400.0,43
France,27600.0,216
Georgia,2500.0,8
Germany,27600.0,425
Greece,20000.0,22
Grenada,5000.0,1
Hong Kong,28800.0,1
Hungary,13900.0,139
India,2900.0,17
Indonesia,3200.0,7
Iran,7000.0,14
Ireland,29600.0,5
Israel,19800.0,1
Italy,26700.0,203
Jamaica,3900.0,31
Japan,28200.0,109
Jordan,4300.0,1
Kazakhstan,6300.0,20
Kenya,1000.0,26
Latvia,10200.0,3
Liechtenstein,25000.0,2
Lithuania,11400.0,6
Mexico,9000.0,21
Mongolia,1800.0,2
Morocco,4000.0,6
Mozambique,1200.0,1
Netherlands,28600.0,199
New Zealand,21600.0,48
Nigeria,900.0,23
Norway,37800.0,158
Pakistan,2100.0,16
Panama,6300.0,1
Poland,11100.0,44
Portugal,18000.0,4
Puerto Rico,16800.0,1
Romania,7000.0,137
Russia,8900.0,365
Serbia,2200.0,15
Singapore,23700.0,1
Slovakia,13300.0,15
Slovenia,19000.0,8
South Africa,10700.0,15
Spain,22000.0,102
Suriname,4000.0,1
Sweden,26800.0,118
Switzerland,32700.0,55
Syria,3300.0,1
Tajikistan,1000.0,1
Thailand,7400.0,9
Tunisia,6900.0,2
Turkey,6700.0,17
Uganda,1400.0,1
Ukraine,5400.0,47
United Arab Emirates,23200.0,1
United States,37800.0,1257
Uzbekistan,1700.0,10
Venezuela,4800.0,1
Vietnam,2500.0,1
Zimbabwe,1900.0,17
