Algeria,32930091,5
Argentina,39921833,70
Armenia,2976372,2
Australia,20264082,261
Austria,8192880,55
Azerbaijan,7961619,7
Bahrain,698585,1
Belarus,10293011,24
Belgium,10379067,8
Brazil,188078227,100
Bulgaria,7385367,33
Burundi,8090068,1
Cameroon,17340702,20
Canada,33098932,303
Chile,16134219,3
China,1313973713,308
Colombia,43593035,5
Costa Rica,4075261,1
Cote d'Ivoire,17654843,1
Croatia,4494749,58
Cuba,11382820,149
Czech Republic,10235455,42
Denmark,5450661,92
Dominican Republic,9183984,3
Ecuador,13547510,1
Egypt,78887007,1
Estonia,1324333,7
Ethiopia,74777981,19
Fiji,905949,13
Finland,5231372,43
France,60876136,216
Georgia,4661473,8
Germany,82422299,425
Greece,10688058,22
Grenada,89703,1
Hong Kong,6940432,1
Hungary,9981334,139
India,1095351995,17
Indonesia,245452739,7
Iran,68688433,14
Ireland,4062235,5
Israel,6352117,1
Italy,58133509,203
Jamaica,2758124,31
Japan,127463611,109
Jordan,5906760,1
Kazakhstan,15233244,20
Kenya,34707817,26
Latvia,2274735,3
Liechtenstein,33987,2
Lithuania,3585906,6
Mexico,107449525,21
Mongolia,2832224,2
Morocco,33241259,6
Mozambique,19686505,1
Netherlands,16491461,199
New Zealand,4076140,48
Nigeria,131859731,23
Norway,4610820,158
Pakistan,165803560,16
Panama,3191319,1
Poland,38536869,44
Portugal,10605870,4
Puerto Rico,3927188,1
Romania,22303552,137
Russia,142893540,365
Serbia,9396411,15
Singapore,4492150,1
Slovakia,5439448,15
Slovenia,2010347,8
South Africa,44187637,15
Spain,40397842,102
Suriname,439117,1
Sweden,9016596,118
Switzerland,7523934,55
Syria,18881361,1
Tajikistan,7320815,1
Thailand,64631595,9
Tunisia,10175014,2
Turkey,70413958,17
Uganda,28195754,1
Ukraine,46710816,47
United Arab Emirates,2602713,1
United States,298444215,1257
Uzbekistan,27307134,10
Venezuela,25730435,1
Vietnam,84402966,1
Zimbabwe,12236805,17
