Afghanistan,36.0,2
Algeria,70.0,17
Argentina,97.1,196
Armenia,98.6,16
Australia,100.0,985
Austria,98.0,208
Azerbaijan,97.0,44
Bahrain,89.1,3
Barbados,97.4,1
Belarus,99.6,139
Belgium,98.0,57
Botswana,79.8,1
Brazil,86.4,394
Bulgaria,98.6,219
Burundi,51.6,2
Cameroon,79.0,21
Canada,97.0,836
Chile,96.2,23
China,90.9,901
Colombia,92.5,24
Costa Rica,96.0,4
Cote d'Ivoire,50.9,3
Croatia,98.5,149
Cuba,97.0,343
Cyprus,97.6,1
Czech Republic,99.9,134
Denmark,100.0,193
Djibouti,67.9,1
Dominican Republic,84.7,7
Ecuador,92.5,2
Egypt,57.7,12
Eritrea,58.6,1
Estonia,99.8,25
Ethiopia,42.7,47
Fiji,93.7,13
Finland,100.0,354
France,99.0,697
Gabon,63.2,1
Georgia,99.0,32
Germany,99.0,1185
Ghana,74.8,20
Greece,97.5,84
Grenada,98.0,2
Guatemala,70.6,1
Guyana,98.8,1
Hong Kong,93.5,2
Hungary,99.4,363
Iceland,99.9,16
India,59.5,30
Indonesia,87.9,27
Iran,79.4,39
Ireland,98.0,22
Israel,95.4,9
Italy,98.6,724
Jamaica,87.9,142
Japan,99.0,551
Jordan,91.3,1
Kazakhstan,98.4,77
Kenya,85.1,81
Kuwait,83.5,2
Kyrgyzstan,97.0,3
Latvia,99.8,22
Lebanon,87.4,1
Liechtenstein,100.0,7
Lithuania,99.6,61
Luxembourg,100.0,2
Macedonia,0.0,1
Malaysia,88.7,12
Mauritius,85.6,1
Mexico,92.2,63
Moldova,99.1,8
Mongolia,97.8,20
Morocco,51.7,22
Mozambique,47.8,2
Namibia,84.0,4
Netherlands,99.0,617
Netherlands Antilles,96.7,1
New Zealand,99.0,160
Niger,17.6,1
Nigeria,68.0,97
Norway,100.0,454
Pakistan,45.7,33
Panama,92.6,1
Paraguay,94.0,17
Peru,90.9,14
Philippines,92.6,4
Poland,99.8,244
Portugal,93.3,17
Puerto Rico,94.1,7
Qatar,82.5,5
Romania,98.4,462
Russia,99.6,1100
Saudi Arabia,78.8,6
Senegal,40.2,1
Serbia,93.0,85
Singapore,92.5,8
Slovakia,0.0,47
Slovenia,99.7,48
South Africa,86.4,56
Spain,97.9,428
Sri Lanka,92.3,1
Sudan,61.1,1
Suriname,93.0,2
Sweden,99.0,515
Switzerland,99.0,197
Syria,76.9,3
Tajikistan,99.4,4
Tanzania,78.2,2
Thailand,92.6,29
Togo,60.9,1
Tonga,98.5,1
Tunisia,74.2,8
Turkey,86.5,53
Uganda,69.9,3
Ukraine,99.7,197
United Arab Emirates,77.9,2
United States,97.0,2702
Uruguay,98.0,1
Uzbekistan,99.3,34
Venezuela,93.4,11
Vietnam,90.3,4
Zambia,80.6,2
Zimbabwe,90.7,22
