country,service,gold_medals
Algeria,0.298,5
Argentina,0.547,70
Armenia,0.418,2
Australia,0.7,261
Austria,0.678,55
Azerbaijan,0.402,7
Bahrain,0.608,1
Belarus,0.591,24
Belgium,0.749,8
Brazil,0.516,100
Bulgaria,0.603,33
Burundi,0.334,1
Cameroon,0.382,20
Canada,0.684,303
Chile,0.447,3
China,0.403,308
Colombia,0.533,5
Costa Rica,0.614,1
Cote d'Ivoire,0.55,1
Croatia,0.622,58
Cuba,0.684,149
Czech Republic,0.573,42
Denmark,0.735,92
Dominican Republic,0.582,3
Ecuador,0.618,1
Egypt,0.493,1
Estonia,0.666,7
Ethiopia,0.426,19
Fiji,0.776,13
Finland,0.676,43
France,0.764,216
Georgia,0.553,8
Germany,0.695,425
Greece,0.733,22
Grenada,0.766,1
Hong Kong,0.906,1
Hungary,0.651,139
India,0.538,17
Indonesia,0.408,7
Iran,0.46,14
Ireland,0.49,5
Israel,0.657,1
Italy,0.688,203
Jamaica,0.615,31
Japan,0.725,109
Jordan,0.68,1
Kazakhstan,0.547,20
Kenya,0.651,26
Latvia,0.699,3
Liechtenstein,0.55,2
Lithuania,0.62,6
Mexico,0.702,21
Mongolia,0.58,2
Morocco,0.426,6
Mozambique,0.39,1
Netherlands,0.736,199
New Zealand,0.684,48
Nigeria,0.244,23
Norway,0.564,158
Pakistan,0.533,16
Panama,0.776,1
Poland,0.64,44
Portugal,0.673,4
Puerto Rico,0.54,1
Romania,0.549,137
Russia,0.575,365
Serbia,0.579,15
Singapore,0.661,1
Slovakia,0.672,15
Slovenia,0.603,8
South Africa,0.671,15
Spain,0.665,102
Suriname,0.65,1
Sweden,0.707,118
Switzerland,0.645,55
Syria,0.519,1
Tajikistan,0.48,1
Thailand,0.46,9
Tunisia,0.55,2
Turkey,0.585,17
Uganda,0.469,1
Ukraine,0.361,47
United Arab Emirates,0.375,1
United States,0.787,1257
Uzbekistan,0.43,10
Venezuela,0.541,1
Vietnam,0.381,1
Zimbabwe,0.579,17
